,close,high,low,p_change,open,pre_close,volume,date,date_week,key,atr21,atr14
2017-12-05,303.7,308.0,301.0,-0.491,302.0,305.2,4646520,20171205,1,178,10.251742444193562,9.666120233557173
2017-12-06,313.26,313.39,300.0,3.148,300.1,303.7,7195341,20171206,2,179,10.537038595737284,10.16263753575278
2017-12-07,311.24,318.63,311.05,-0.645,312.0,313.26,4780597,20171207,3,180,10.93639873625894,10.798285864322652
2017-12-08,315.13,316.98,311.26,1.25,314.6,311.24,3468458,20171208,4,181,10.462180655442479,10.121181082409661
2017-12-11,328.91,329.01,313.75,4.373,314.63,315.13,7937981,20171211,0,182,11.12652788626616,11.14102360475935
2017-12-12,341.03,341.44,330.03,3.685,330.45,328.91,8733199,20171212,1,183,12.506843566367532,13.163553790798854
2017-12-13,339.03,344.22,336.5,-0.586,340.93,341.03,6221461,20171213,2,184,12.76167597503044,13.449746618693244
2017-12-14,337.89,347.44,336.9,-0.336,341.01,339.03,5799916,20171214,3,185,12.559705427807092,13.061780402866411
2017-12-15,343.45,343.9,335.76,1.646,342.04,337.89,6933199,20171215,4,186,12.157914017975044,12.405543015815987
2017-12-18,338.87,346.73,337.58,-1.334,344.9,343.45,5476166,20171218,0,187,11.884467284549165,11.971470613706295
2017-12-19,331.1,341.49,330.3,-2.293,340.26,338.87,6824971,20171219,1,188,11.999515714954992,12.128607865212409
2017-12-20,328.98,333.1,325.04,-0.64,332.69,331.1,5953800,20171220,2,189,12.165923379504619,12.355460149851105
2017-12-21,331.66,333.74,327.21,0.815,329.59,328.98,4385222,20171221,3,190,11.653566702278917,11.578732129869914
2017-12-22,325.2,330.92,324.82,-1.9480000000000002,329.51,331.66,4215807,20171222,4,191,11.148696996372939,10.848234512553075
2017-12-26,317.29,323.94,316.58,-2.432,323.83,325.2,4378413,20171226,1,192,11.50608818218824,11.412469910879915
2017-12-27,311.64,317.68,310.75,-1.781,316.0,317.29,4712111,20171227,2,193,11.773716531758653,11.817473922762954
2017-12-28,315.36,315.82,309.54,1.194,311.75,311.64,4316347,20171228,3,194,11.40792411667846,11.275144066394155
2017-12-29,311.35,316.41,310.0,-1.272,316.18,315.36,3777155,20171229,4,195,10.953567375295679,10.62645819087451
2018-01-02,320.53,322.11,311.0,2.948,312.0,311.35,4352241,20180102,1,196,10.967788523095745,10.690930432091282
2018-01-03,317.25,325.25,315.55,-1.023,321.0,320.53,4521527,20180103,2,197,11.234353204512754,11.11880637447932
2018-01-04,314.62,318.55,305.68,-0.8290000000000001,312.87,317.25,9946304,20180104,3,198,11.563048369642786,11.616298857882285
2018-01-05,316.58,317.24,312.0,0.623,316.62,314.62,4591180,20180105,4,199,10.989134878471338,10.767459010164332
2018-01-08,336.41,337.02,315.5,6.263999999999999,316.0,316.58,9859435,20180108,0,200,12.026486258121635,12.318464475476244
2018-01-09,333.69,338.8,327.405,-0.809,335.16,336.41,7146631,20180109,1,201,12.95316932959794,13.638669212079776
2018-01-10,334.8,336.68,330.25,0.33299999999999996,331.71,333.69,109366,20180110,2,202,12.360153933652006,12.677513317135574
2018-01-11,337.95,344.81,333.26,0.941,335.24,334.8,6645484,20180111,3,203,12.286503575782387,12.527178208184134
2018-01-12,336.22,340.41,333.67,-0.512,338.63,337.95,4825059,20180112,4,204,11.782275976335347,11.755554447092777
2018-01-16,340.06,345.0,334.8,1.1420000000000001,337.54,336.22,6474251,20180116,1,205,11.638432705331848,11.548147187480373
2018-01-17,347.16,349.0,339.75,2.088,340.47,340.06,7103505,20180117,2,206,11.7422115505821,11.712394229149668
2018-01-18,344.57,352.3,343.74,-0.746,345.67,347.16,5685845,20180118,3,207,11.78746504609489,11.782741665263046
2018-01-19,350.02,350.59,342.6,1.5819999999999999,345.0,344.57,4888303,20180119,4,208,11.442240950224395,11.277042776561249
2018-01-22,351.56,357.83,349.2,0.44,349.4,350.02,6210360,20180122,0,209,11.607491773266748,11.541437073019758
2018-01-23,352.79,360.5,351.0,0.35,360.0,351.56,5465414,20180123,1,210,11.5049925209624,11.399912129950426
2018-01-24,345.89,354.75,343.52,-1.956,354.58,352.79,5287478,20180124,2,211,11.479993200832965,11.37725717929037
2018-01-25,337.64,349.2,336.4,-2.385,348.27,345.89,6740303,20180125,3,212,11.926357455983542,12.045622888718365
2018-01-26,342.85,344.0,335.71,1.5430000000000001,341.5,337.64,4539356,20180126,4,213,11.767597687037634,11.796873170222586
2018-01-29,349.53,350.85,338.28,1.9480000000000002,339.85,342.85,4747149,20180129,0,214,11.89872517019951,11.98529008085958
2018-01-30,345.82,348.27,342.17,-1.061,345.14,349.53,4717700,20180130,1,215,11.371568335940891,11.200584736744934
2018-01-31,354.31,356.19,345.19,2.455,347.51,345.82,6214069,20180131,2,216,11.33778939627471,11.173840105178943
2018-02-01,349.25,359.66,348.63,-1.4280000000000002,351.0,354.31,4197687,20180201,3,217,11.565263087737897,11.529328091155083
2018-02-02,343.75,351.95,340.51,-1.575,348.44,349.25,3704836,20180202,4,218,11.76842098902756,11.832084345667754
2018-02-05,333.13,344.47,333.0,-3.089,337.97,343.75,4464147,20180205,0,219,12.175837263071227,12.421139766245407
2018-02-06,333.97,336.22,323.5,0.252,325.21,333.13,5088438,20180206,1,220,12.909852057859785,13.464987797412713
2018-02-07,345.0,346.0,335.66,3.303,338.99,333.97,6969239,20180207,2,221,12.906229143506541,13.385656091091002
2018-02-08,315.23,348.62,314.6,-8.629,343.31,345.0,10314573,20180208,3,222,14.825662858861985,16.136901945612237
2018-02-09,310.42,320.98,294.76,-1.526,319.93,315.23,12933721,20180209,4,223,18.04514805523208,20.683981686197335
